"cpg","estimate","se","p.value"
"cg00359365","-0.00032291","0.00011224",0.0041
"cg00359395","-0.00015472","3.92e-05",8.59e-05
"cg00362285","-0.00073258","0.00015392",2.21e-06
"cg00371239","-0.00012642","4.43e-05",0.00445
"cg00383763","0.00056439","0.00013643",3.8e-05
"cg00391668","0.00057124","0.00012426",4.8e-06
"cg00393247","0.00015621","5.59e-05",0.00528
"cg00397104","-0.00016817","5.86e-05",0.0042
"cg00400948","-0.00021389","4.98e-05",1.9e-05
"cg00405069","0.00035232","9.89e-05",0.000385
"cg00420884","0.00053111","8.49e-05",5.85e-10
"cg00423486","-0.00024323","6.9e-05",0.000442
"cg00426377","-0.00037131","8.63e-05",1.85e-05
"cg00443516","-0.00013858","4.43e-05",0.0018
"cg00447682","-0.00010207","2.82e-05",0.000302
"cg00452133","0.00047545","0.00015599",0.00236
"cg00452835","-0.00023175","8.21e-05",0.00484
"cg00460049","-0.0001191","3.52e-05",0.000733
"cg00463859","0.00060808","0.00014034",1.61e-05
"cg00466108","-9.18e-05","3.37e-05",0.00657
"cg00483992","-0.00032986","8.67e-05",0.000151
"cg00501542","0.00016213","5.8e-05",0.00527
"cg00502254","0.00031037","0.0001036",0.0028
"cg00502597","-0.00039173","7.37e-05",1.29e-07
"cg00502963","-8.13e-05","2.83e-05",0.00412
"cg00518190","0.00031592","7.88e-05",6.55e-05
"cg00519063","-0.00047854","0.00010593",6.97e-06
"cg00519208","0.0004224","9.86e-05",2.01e-05
"cg00521434","-0.00016296","6.03e-05",0.00695
"cg00526336","-0.0002005","7.29e-05",0.00608
"cg00533390","0.00040132","0.00010735",0.000195
"cg00543406","-8.66e-05","1.91e-05",6.19e-06
"cg00543976","-0.00012522","2.84e-05",1.14e-05
"cg00547484","-0.00025674","6.85e-05",0.000186
"cg00560689","-0.00018722","5.22e-05",0.000352
"cg00560747","-0.00038505","0.0001081",0.000384
"cg00562088","-0.0002023","4.94e-05",4.5e-05
"cg00563566","-0.00021104","5.81e-05",0.000295
"cg00566164","-0.00012055","4.24e-05",0.00453
"cg00566297","-0.00013346","4.59e-05",0.00369
"cg00566320","-0.00025256","7.86e-05",0.00136
"cg00567854","0.00031154","8.06e-05",0.000117
"cg00568910","-0.00056426","0.00019227",0.00341
"cg00569091","-0.00038425","5.83e-05",6.98e-11
"cg00569500","-0.0003024","9.29e-05",0.00117
"cg00570000","0.00043294","0.00010504",4.06e-05
"cg00571809","-0.00019148","5.24e-05",0.000273
"cg00573880","-4.73e-05","1.66e-05",0.00462
"cg00576014","-6.26e-05","2.22e-05",0.00485
"cg00576075","0.00055317","0.00015955",0.000547
"cg00580652","-0.00029019","0.00010236",0.00467
"cg00581017","-0.00024332","4.84e-05",5.85e-07
"cg00581154","-0.00056172","8.79e-05",2.5e-10
"cg00583068","0.00058557","0.00012849",5.78e-06
"cg00594952","0.00041142","9.66e-05",2.22e-05
"cg00600454","0.00037625","0.00011266",0.000868
"cg00609227","-0.00023929","8.12e-05",0.00327
"cg00619207","-0.00031764","0.00010056",0.00163
"cg00644847","0.00035902","0.00012446",0.004
"cg00646396","0.00027635","9.39e-05",0.00331
"cg00646546","-0.00014497","5.06e-05",0.00422
"cg00647004","0.00060758","0.00020597",0.00325
"cg00653615","-0.00060511","8.92e-05",1.91e-11
"cg00656410","-0.00040526","5.44e-05",1.94e-13
"cg00656728","0.00037848","0.00010165",0.000207
"cg00657094","-0.00017564","5.95e-05",0.00322
"cg00657694","-0.00011523","3.96e-05",0.0037
"cg00660272","-0.0005869","7.4e-05",5.7e-15
"cg00665106","-0.00034488","0.00011446",0.00265
"cg00667647","-8.63e-05","2.7e-05",0.00144
"cg00688323","0.0004377","0.00013923",0.00171
"cg00692173","-0.00036746","0.00012545",0.00347
"cg00695391","-0.00057739","0.00012246",2.74e-06
"cg00695760","0.0005011","0.00011341",1.1e-05
"cg00702126","-0.00019834","3.43e-05",9.69e-09
"cg00702417","-0.00038967","0.00011499",0.000728
"cg00702837","-0.00016715","6.24e-05",0.00748
"cg00713294","-0.00082053","0.00016359",6.2e-07
"cg00715290","-0.00019382","4.5e-05",1.8e-05
"cg00715999","-0.00025057","5.93e-05",2.59e-05
"cg00718581","0.00031028","9.57e-05",0.00122
"cg00734567","-0.00046713","0.00017054",0.00627
"cg00754103","-0.00016416","5.13e-05",0.00142
"cg00756362","-0.00018804","5.92e-05",0.00154
"cg00758584","-5.54e-05","1.77e-05",0.00181
"cg00759254","-0.00030632","7.97e-05",0.000129
"cg00759329","0.0008713","0.00014595",3.24e-09
"cg00765655","-0.0001595","5.46e-05",0.00356
"cg00768487","-0.00065598","0.00019613",0.000853
"cg00775374","-0.00020132","7.21e-05",0.00531
"cg00777271","0.00022693","8.28e-05",0.00621
"cg00778190","-0.00043011","0.00011422",0.000175
"cg00786138","-0.00025071","4.53e-05",3.88e-08
"cg00787856","0.00036039","0.00013211",0.00648
"cg00791854","-0.00033645","9.61e-05",0.000484
"cg00804354","-0.00022108","7.54e-05",0.00342
"cg00804934","-0.00025504","8.66e-05",0.00331
"cg00806138","0.00059906","0.00010724",2.95e-08
"cg00808305","-8.24e-05","2.98e-05",0.00576
"cg00813440","-0.0001211","4.4e-05",0.00602
"cg00813993","-0.00015826","3.32e-05",2.19e-06
"cg00819142","-0.00031123","9.91e-05",0.00173
"cg00823843","0.00047677","0.00015599",0.0023
"cg00826603","0.00053789","7.58e-05",2.32e-12
"cg00830435","-0.00011366","3.61e-05",0.00169
"cg00830850","0.00018153","4.83e-05",0.000179
"cg00832644","-0.00014131","4.09e-05",0.000577
"cg00836308","0.00079634","0.00010499",7.3e-14
"cg00850612","-0.00012073","3.47e-05",0.000515
"cg00851028","0.00047034","9.19e-05",3.69e-07
"cg00852051","-0.00029568","9.37e-05",0.00165
"cg00853687","-0.00015958","5.4e-05",0.00319
"cg00855901","-0.00070248","0.00013439",2.07e-07
"cg00859858","-0.0005789","0.00010212",1.86e-08
"cg00862390","-0.00021767","6.64e-05",0.00107
"cg00862394","-0.00013237","4.07e-05",0.00117
"cg00866690","-0.00011986","4.34e-05",0.00579
"cg00867472","-0.00054191","8.77e-05",9.24e-10
"cg00868131","-0.00032659","5.82e-05",2.54e-08
"cg00875272","-0.00013829","3.35e-05",4.01e-05
"cg00881010","0.00023557","8.57e-05",0.0061
"cg00889627","-0.00024847","6.85e-05",0.000302
"cg00908631","0.0004821","0.00011548",3.23e-05
"cg00917251","-0.00016977","5.97e-05",0.00456
"cg00918422","-8.48e-05","3.04e-05",0.00535
"cg00920799","0.00041239","0.00013512",0.00233
"cg00930707","0.00037982","9.85e-05",0.000123
"cg00932104","-0.00083972","0.0001521",4.24e-08
"cg00935967","-0.00047596","9.05e-05",1.74e-07
"cg00936728","-0.00016556","5.46e-05",0.00249
"cg00945293","-6.2e-05","2.04e-05",0.00242
"cg00945666","-0.00016429","4.63e-05",0.000401
"cg00950809","-0.00023596","7.09e-05",0.000899
"cg00952054","0.00023104","8.16e-05",0.00474
"cg00954039","-0.00033193","3.73e-05",2.27e-18
"cg00956142","-0.00049778","0.00015481",0.00134
"cg00957688","-0.00033676","8.9e-05",0.000164
"cg00960373","-0.00014531","3.37e-05",1.76e-05
"cg00961640","0.00015229","4.34e-05",0.000469
"cg00968203","-0.00023055","4.99e-05",4.26e-06
"cg00971747","-0.00039599","8.96e-05",1.09e-05
"cg00978203","-0.0002643","8.91e-05",0.0031
"cg00980058","-0.0001482","5.5e-05",0.00719
"cg00981070","-0.00038406","0.00012404",0.00201
"cg00982214","0.00036163","0.00010587",0.00066
"cg00983697","0.00069924","0.00013872",5.46e-07
"cg00987097","-0.00020837","6.15e-05",0.000727
"cg00988346","-0.0002287","6.22e-05",0.000246
"cg00988396","-0.00024172","5.1e-05",2.43e-06
"cg00990022","-0.00014052","4.95e-05",0.00461
"cg00995520","0.00065821","0.00021329",0.00208
"cg00996847","0.0003738","9.3e-05",6.28e-05
"cg00997310","-0.00022115","6.57e-05",0.000797
"cg00999858","-0.00034275","9.08e-05",0.000169
"cg01008154","-0.00016518","4.89e-05",0.000748
"cg01015662","0.00045806","0.00014886",0.00214
"cg01020987","0.00028011","0.0001046",0.00752
"cg01022200","-0.00025084","7.83e-05",0.0014
"cg01022916","0.00045226","0.00010355",1.38e-05
"cg01041284","-0.0001918","5.49e-05",0.000492
"cg01047045","-0.00020561","6.43e-05",0.00142
"cg01048810","-0.00040685","8.7e-05",3.26e-06
"cg01053621","-0.00014439","4.65e-05",0.00194
"cg01057635","0.0008642","0.00013726",4.48e-10
"cg01064725","-0.00077898","0.00014694",1.4e-07
"cg01065471","-0.00010546","3.8e-05",0.00566
"cg01068808","-0.00045718","0.00010905",2.99e-05
"cg01076495","-0.00083257","0.00014708",1.94e-08
"cg01097408","-0.00074939","0.00012173",1.06e-09
"cg01101459","0.00064521","9.32e-05",7.6e-12
"cg01101782","0.00067041","0.00024546",0.00641
"cg01103597","-0.00032799","6.15e-05",1.16e-07
"cg01119135","0.00020577","4.92e-05",3.14e-05
"cg01124530","-0.00022697","7.83e-05",0.00384
"cg01134183","-8.13e-05","2.65e-05",0.00221
"cg01175767","-9.03e-05","3.31e-05",0.00649
"cg01181681","0.00048124","0.00011573",3.47e-05
"cg01182697","-0.00063192","9.45e-05",3.67e-11
"cg01186725","-0.00010587","3.3e-05",0.00139
"cg01193554","-0.00042529","9.46e-05",7.68e-06
"cg01196158","-0.00061608","0.00019366",0.00151
"cg01197763","-0.00016104","5.46e-05",0.00328
"cg01198591","-0.00046534","0.00012306",0.000165
"cg01206378","0.00062689","0.00014403",1.48e-05
"cg01215525","-0.00018035","6.39e-05",0.00485
"cg01236573","0.00031089","0.00010222",0.00241
"cg01241450","-0.00023912","7.69e-05",0.00193
"cg01258789","0.00049526","0.00013333",0.000214
"cg01261194","-0.00046736","0.00014942",0.00181
"cg01269514","-0.00023885","7.9e-05",0.00256
"cg01281797","0.00029992","7.16e-05",3.02e-05
"cg01295264","-0.00053395","7.55e-05",2.83e-12
"cg01328949","0.00051072","0.00012985",8.93e-05
"cg01329153","-0.00015424","5.16e-05",0.00286
"cg01333788","-0.00012815","4.61e-05",0.00554
"cg01346152","-7.81e-05","2.45e-05",0.00146
"cg01350686","-0.00029656","8.38e-05",0.000416
"cg01352586","-6.27e-05","2.18e-05",0.00413
"cg01359534","0.0007885","0.00016879",3.38e-06
"cg01364674","0.00024298","8.7e-05",0.00533
"cg01391297","-0.00033568","9.77e-05",0.000617
"cg01392351","-0.0001726","6.04e-05",0.00437
"cg01394052","-0.00014292","3.75e-05",0.000144
"cg01395499","-0.00011116","3.78e-05",0.00336
"cg01395667","0.00091001","0.0001808",5.67e-07
"cg01396157","-0.00028055","8.09e-05",0.000545
"cg01399319","-0.00017246","5.07e-05",0.000693
"cg01402255","-0.00026473","8.7e-05",0.0024
"cg01402735","0.00053631","0.00012164",1.15e-05
"cg01411912","-0.00034229","7.97e-05",1.89e-05
"cg01412518","-0.0002262","7.34e-05",0.00212
"cg01414407","-0.00036666","0.00010274",0.000375
"cg01414687","-0.00028468","6.55e-05",1.51e-05
"cg01414934","-0.00015364","4.25e-05",0.000316
"cg01415937","-0.00012959","3e-05",1.72e-05
"cg01420388","0.00029107","7.53e-05",0.000118
"cg01420426","-8.49e-05","3.05e-05",0.00552
"cg01424901","0.00029901","0.00010079",0.00308
"cg01425967","-9.84e-05","2.93e-05",0.000819
"cg01427362","0.00028553","7.65e-05",2e-04
"cg01429933","-0.00073564","9.51e-05",2.35e-14
"cg01431482","-0.00047421","0.0001192",7.42e-05
"cg01433109","-0.0001163","4.33e-05",0.00732
"cg01435515","-0.00017783","3.23e-05",4.84e-08
"cg01440333","-0.00033783","0.00010316",0.00109
"cg01445399","0.00030762","7.48e-05",4.18e-05
"cg01447427","-0.0003611","0.00013322",0.00683
"cg01447748","0.00047852","0.00012938",0.000228
"cg01448098","-0.00019308","5.92e-05",0.00115
"cg01448881","-0.00022754","6.93e-05",0.00107
"cg01449266","-0.0002796","8.02e-05",0.00051
"cg01455178","-0.00048582","9.6e-05",4.92e-07
"cg01465596","-0.00024513","9.1e-05",0.00717
"cg01471713","0.00060442","9.75e-05",8.05e-10
"cg01488300","-0.00028301","6.35e-05",9.29e-06
"cg01490733","-0.00041993","7.88e-05",1.2e-07
"cg01495321","-6.87e-05","2.3e-05",0.00292
"cg01497426","-0.00019487","6.71e-05",0.00375
"cg01512396","-0.00010982","3.67e-05",0.00287
"cg01514538","0.00039281","9.91e-05",7.87e-05
"cg01516372","-0.0002569","6.98e-05",0.000244
"cg01517656","-0.00013815","4.37e-05",0.00161
"cg01519195","-0.00023625","5.1e-05",4.13e-06
"cg01520563","-0.00020697","5.93e-05",0.000501
"cg01522553","-0.00022405","6.54e-05",0.000633
"cg01523881","-0.00047323","0.00011417",3.67e-05
"cg01525376","-0.00019794","6.68e-05",0.00309
"cg01550716","-0.00010125","3.52e-05",0.00407
"cg01551133","0.00040042","8.07e-05",8.08e-07
"cg01554474","0.00037066","0.00013701",0.00693
"cg01556552","-0.00035602","0.00010928",0.00116
"cg01567509","-0.00026538","9.55e-05",0.00557
"cg01572884","0.00039332","7.78e-05",5.02e-07
"cg01586952","-0.0002338","8.14e-05",0.00417
"cg01588592","0.0004043","9.48e-05",2.19e-05
"cg01594290","-0.00023203","4.55e-05",4.08e-07
"cg01598007","0.00066224","0.00010881",1.62e-09
"cg01602345","-0.00016844","4.36e-05",0.000117
"cg01605789","-0.00010129","3.36e-05",0.00266
"cg01623797","-9.1e-05","3.31e-05",0.0061
"cg01643090","-0.00016012","4.86e-05",0.00101
"cg01653445","-5.66e-05","2.02e-05",0.0052
"cg01654312","-0.00014856","2.47e-05",2.34e-09
"cg01664666","-8.4e-05","3.11e-05",0.00709
"cg01689405","0.00035508","9.51e-05",0.000198
"cg01692088","-0.00032917","7.36e-05",8.66e-06
"cg01693305","-0.00013696","4.44e-05",0.00209
"cg01693598","0.00058646","0.00010273",1.48e-08
"cg01710147","-0.00037939","9.97e-05",0.00015
"cg01710351","-0.00030441","6.45e-05",2.64e-06
"cg01710361","-0.00075363","9.81e-05",3.54e-14
"cg01713950","0.00073995","0.00011223",6.79e-11
"cg01715745","0.00074171","0.00010132",4.9e-13
"cg01718365","-0.00012477","4.19e-05",0.00295
"cg01719793","-6.04e-05","2.16e-05",0.00517
"cg01723892","-0.00133095","0.00012414",1.6e-25
"cg01728712","-0.00016617","5.48e-05",0.00249
"cg01730064","0.00052611","0.00015145",0.000534
"cg01742370","0.00040558","0.00013585",0.0029
"cg01747664","-0.00046747","0.00014073",0.000925
"cg01750764","-0.00015822","5.44e-05",0.00371
"cg01759628","-0.000685","0.00015093",6.31e-06
"cg01763916","-0.00120774","0.00014908",1.49e-15
"cg01769341","-0.00032966","0.00010347",0.00148
"cg01770296","0.00079599","0.00012896",1e-09
"cg01774645","-0.00028004","8.94e-05",0.00178
"cg01782059","0.00035374","7e-05",5.09e-07
"cg01782097","-0.00037006","0.00010319",0.000351
"cg01783894","0.0009454","0.00015401",1.18e-09
"cg01787285","-0.00062057","0.00013143",2.66e-06
"cg01788396","0.00033014","9.31e-05",0.000406
"cg01793374","-0.00013077","3.76e-05",0.000521
"cg01795776","-0.00028945","9.8e-05",0.0032
"cg01798157","-0.0013219","0.00012358",2.03e-25
"cg01806151","0.00036279","0.00010242",0.000414
"cg01806956","-0.00041174","7.03e-05",6.15e-09
"cg01808739","-0.00066563","0.00018136",0.000254
"cg01809639","-0.00030068","0.00011241",0.00759
"cg01809819","-0.00011943","3.99e-05",0.00281
"cg01810926","0.00030121","7.46e-05",5.82e-05
"cg01810953","-0.00017743","3.41e-05",2.28e-07
"cg01820314","-6.47e-05","2.29e-05",0.00481
"cg01824138","0.00084879","0.00019899",2.17e-05
"cg01824919","-8.02e-05","2.97e-05",0.00701
"cg01826444","0.00047895","0.00010606",7.02e-06
"cg01832549","-0.0013155","0.00014378",2.89e-19
"cg01833122","-0.00018276","5e-05",0.000269
"cg01833485","0.00104088","0.0001724",2.17e-09
"cg01834614","-0.00012445","4.08e-05",0.00236
"cg01858866","0.00031816","0.00011088",0.00419
"cg01860897","-0.00021518","6.06e-05",0.000398
"cg01869896","-0.00029344","9.2e-05",0.00146
"cg01877084","0.00049535","0.0001195",3.67e-05
"cg01877155","-0.00013719","5.06e-05",0.00684
"cg01881062","-0.00058915","0.00010711",4.75e-08
"cg01890417","-0.00021951","6.83e-05",0.00135
"cg01901101","-0.00073621","8.9e-05",3.84e-16
"cg01902845","0.00027527","9.88e-05",0.00541
"cg01903702","-0.00038267","0.00013338",0.0042
"cg01914231","-0.00022308","8.05e-05",0.00567
"cg01920090","-0.00010616","3.7e-05",0.00416
"cg01922433","-0.00010932","2.89e-05",0.000164
"cg01923724","-0.00024865","8.77e-05",0.00468
"cg01924561","-0.00055147","0.00015215",0.000303
"cg01930478","-0.00016687","5.34e-05",0.00184
"cg01932308","-0.00022472","6.66e-05",0.00077
"cg01932688","-0.00019896","5.58e-05",0.000383
"cg01937809","-0.00045899","0.00012604",0.000284
"cg01938025","-0.00027975","6.4e-05",1.35e-05
"cg01941754","-0.00011071","3.8e-05",0.00366
"cg01943221","-0.00032811","6.81e-05",1.66e-06
"cg01946451","0.00047167","0.00014065",0.000826
"cg01947769","-0.00053748","0.00016725",0.00135
"cg01949002","0.00034438","9.5e-05",0.000305
"cg01964467","-9.39e-05","3.42e-05",0.0062
"cg01966974","-0.00062366","0.00013959",8.75e-06
"cg01970427","-0.00013414","4.96e-05",0.00699
"cg01971224","-0.00030721","6.46e-05",2.23e-06
"cg01971755","-0.00025636","5.99e-05",2.05e-05
"cg01973174","-0.00015961","4.84e-05",0.001
"cg01973605","-0.00022195","5.49e-05",5.64e-05
"cg01974027","0.00076843","0.00010885",3.03e-12
"cg01974180","0.00011535","3.32e-05",0.000528
"cg01975877","-0.00010902","3.74e-05",0.0036
"cg01978743","-0.00014254","4.36e-05",0.00112
"cg01979157","-0.00021357","7.38e-05",0.00389
"cg01983216","-0.00028103","6.31e-05",9.49e-06
"cg01983725","-0.00031725","6.92e-05",5.14e-06
"cg02030410","0.00060526","0.00016432",0.000242
"cg02030454","0.00031506","6.04e-05",2.23e-07
"cg02030493","-9.21e-05","2.97e-05",0.00198
"cg02049180","0.00034288","0.0001251",0.00623
"cg02050917","0.00038095","9.1e-05",3.07e-05
"cg02058628","-0.0005205","8.25e-05",4.08e-10
"cg02062816","0.00037116","0.00011449",0.00122
"cg02068169","-5.88e-05","2.11e-05",0.00555
"cg02068538","-0.00015918","5.1e-05",0.00183
"cg02072975","-0.00048358","0.00010061",1.76e-06
"cg02078626","-0.00026842","5.68e-05",2.63e-06
"cg02080857","-0.00036873","9.25e-05",7.15e-05
"cg02086195","0.00054773","0.00012374",1.06e-05
"cg02086349","0.00049252","9.98e-05",9.26e-07
"cg02087416","-0.00014591","3.6e-05",5.33e-05
"cg02098619","-0.00040377","9.38e-05",1.84e-05
"cg02104952","0.00074943","0.00010426",1.25e-12
"cg02105856","-0.00015937","4.43e-05",0.000336
"cg02107304","-5.98e-05","2.19e-05",0.0064
"cg02107558","-0.00019378","6.31e-05",0.00219
"cg02124912","0.00083274","0.00012748",1.01e-10
"cg02141814","-0.00026232","3.77e-05",5.8e-12
"cg02145668","0.00029493","0.00010974",0.00731
"cg02148612","-0.00063832","0.00012853",7.96e-07
"cg02153855","0.00041229","0.00013276",0.00195
"cg02154252","0.00058667","8.66e-05",2.11e-11
"cg02155957","-0.00026006","8.58e-05",0.00251
"cg02156380","0.00029427","9.43e-05",0.00186
"cg02213139","0.00020122","7.34e-05",0.00619
"cg02233459","-0.00032165","7.72e-05",3.36e-05
"cg02236896","-0.0002101","6.96e-05",0.0026
"cg02255801","0.00030106","9.65e-05",0.00185
"cg02268584","-0.00013408","4.03e-05",0.000912
"cg02273797","-0.00030362","4.31e-05",3.32e-12
"cg02283735","0.00047446","0.0001466",0.00125
"cg02289343","-0.00016195","5.51e-05",0.00339
"cg02290880","0.00043098","9.1e-05",2.48e-06
"cg02291556","-0.00057994","7.25e-05",3.26e-15
"cg02294302","0.00064716","7.4e-05",8.7e-18
"cg02294758","-0.0001122","3.31e-05",0.000737
"cg02296583","-5.77e-05","2.05e-05",0.00502
"cg02297801","-0.00018922","3.91e-05",1.46e-06
"cg02303801","-0.00031388","7.59e-05",3.85e-05
"cg02327719","0.00052687","8.17e-05",1.73e-10
"cg02331673","-0.00013365","4.81e-05",0.00551
"cg02331910","0.00116863","0.00042418",0.00597
"cg02334669","-8.61e-05","2.94e-05",0.00344
"cg02339592","-0.00016802","6.07e-05",0.00576
"cg02343275","-0.00017349","5.23e-05",0.000936
"cg02345146","0.00050497","0.00013077",0.00012
"cg02347356","0.00037981","0.00011159",0.00069
"cg02357336","-0.00030229","0.00010289",0.00338
"cg02359160","-0.00029159","0.00010265",0.00459
"cg02360862","-0.00015372","5.69e-05",0.00697
"cg02361803","-0.00028843","6.73e-05",2e-05
"cg02367655","-0.00041969","0.00015251",0.00603
"cg02367828","-0.00015402","5.17e-05",0.00295
"cg02369542","0.00038653","0.00013708",0.0049
"cg02386822","-0.00040264","0.00013979",0.00405
"cg02392619","-7.44e-05","2.42e-05",0.00217
"cg02414710","-0.00013605","4.42e-05",0.00214
"cg02415029","-0.00027089","8.32e-05",0.00117
"cg02415297","-7.69e-05","2.65e-05",0.0038
"cg02415349","-7.44e-05","2.78e-05",0.00753
"cg02448796","0.00044165","0.00013048",0.000739
"cg02449975","0.00019032","6.87e-05",0.00566
"cg02452586","0.00033324","0.00011862",0.00506
"cg02452639","0.00062996","0.00019006",0.000949
"cg02454364","-8.26e-05","2.64e-05",0.00179
"cg02455792","-0.0002007","6.11e-05",0.00106
"cg02459271","-8.3e-05","2.1e-05",8.4e-05
"cg02483593","0.00013039","4.02e-05",0.00122
"cg02483661","-0.00022294","8.07e-05",0.00582
"cg02488383","0.00013714","4.86e-05",0.00485
"cg02493217","0.00054928","9.53e-05",1.06e-08
"cg02493846","-0.00126973","0.00012207",3.45e-24
"cg02538833","0.00042499","8.37e-05",4.51e-07
"cg02556381","-0.00015577","5.74e-05",0.00677
"cg02567344","-0.00012891","4.11e-05",0.00176
"cg02570920","0.00030304","0.00010006",0.00252
"cg02574254","-0.00017015","5.89e-05",0.00397
"cg02574734","0.00029208","6.32e-05",4.26e-06
"cg02576395","-0.00016867","6.19e-05",0.00654
"cg02576915","-0.00015939","4.94e-05",0.00128
"cg02590572","-0.00027426","7.06e-05",0.000109
"cg02624668","-0.00011606","3.61e-05",0.00133
"cg02625725","-0.00023971","7.2e-05",0.000903
"cg02630477","0.00074566","0.00011787",3.72e-10
"cg02630629","-0.00019435","5.45e-05",0.000382
"cg02631838","-0.0001062","3.61e-05",0.00337
"cg02632274","-5.34e-05","1.8e-05",0.00303
"cg02634341","0.00049761","0.00014948",0.000902
"cg02636497","-0.00010617","3.92e-05",0.00681
"cg02639608","-0.00014857","3.64e-05",4.78e-05
"cg02648847","-0.00059605","8.29e-05",1.22e-12
